	Sekola Neira Banda	bpq-002	taNan													
	Sekír	art-338								Khatáut						
	Selako	knx-000	kokot													
	Selaru	slu-000	sima-												léma	
	Selepet	spl-000	bɑt-					puri-								
	Selice Romani	rmc-002	va	keňeka	muj		astaren	thoven	kėhėginen		ulaven		haveri	čaládo	na	
	Selknam	ona-000	čin	tˀeyštr	kˀoš		en-ḳ šè	ʔòčèʔ	tane		ḳˀèw		pax	ḳàr-i	taw	ʔoyʔ
	Semai	sea-000	t3kN													
	Semaq Beri	szc-000	ti													
	Sembla	sos-000	cɛ	kyuɛ	gírɛ́		tãʏ̈ã lɛ́	wɛ́ fugɔ́	fĩ́ṍ				kɔ̀ːsi			togo ló
	Seme	sif-000	bɛ													
	Semimi	etz-000	ovakara													
	Semnani	smy-000	dast													
	Sempan	xse-000		honane					oho							
	Senga	nse-000	kwanja													
	Sengi	snu-000	aNgla													
	Sengseng	ssz-000	vili-												som	
	Senhayi	sjs-000	afus													
	Sentani	set-000	me													
	Sepa	spb-000	rima													
	Sepang	ptu-009	lima													
	Sepik Iwam	iws-000	ənʌ	ənmu												
	Sepoe	tqo-001						maukai								
	Seraiki	skr-000	ba*													
	Sere	swf-000			rɔ			čò	kole							
	Serena	quw-002	maki													
	Serili	sve-000	ʼlim												kaʼbe:	
	Serua	srw-000	ʼlima												ʼtata	
	Serui-Laut	seu-000	wara													
	Serviko Romani	rmc-001	va													ačhel
	Sese	guk-001	eːrɛ													
	Sewa Bay	sew-000	nima													
	Sewe	dow-001	nãⁿtanse					dundumo					tsaːmoᵘ		hamge	dotmo
	Seya	say-000			kyən		tʊn	tsop	kwaɬargʊ̀nì				kàmgʊ̀dń			
	Sgaw	ksw-000	s3													
	Sha	scw-000	ħágàw	kùkwàt				nǯâh					čam			zyaħ
	Shabo	sbf-000	ifu	koggod	kʼawk		aɗaɗap	hoːra	kʼonhu				saːm			
	Shahmirzadi	srz-000	das													
	Shako	she-000	kʊčʊ													
	Shama	sqa-000	wa													
	Shanenawa	swo-000	m3fi7													
	Sharpa	xsr-002	chak	lakpi temung	chengang	thakringbu	rewup	zututup	logyewup	khangba	gokinok		chetu		thakur	zhuwup
	Sharwa	swq-000	CivE													
	Shasta	sht-000	ʔápka													
	Shatt	shj-000	and-					ɗaːya								
	Shawnee	sjw-000	olECEy													
	Shawsha Wanka	qxw-000	maki	muqu	..kaara		llamkay	paqay	qusuy		qalay	malka	masi		mana	shaakuy
	She	bcq-001	kuč													
	Shekgalagari	xkv-000		shekgono	shehathego	shekgala	kgomana	ratsa	kgorolo	legaya	thakanena		tsala	moze		rula
	Sherdukpen	sdp-000	ik													
	Sheri	shv-000	ed													
	Sherkaly	kca-012	yɔːš													
	Sherpur Hindko	hno-004	bh~3													
	Sheta	xet-000	pa													
	Sheyh Teymur Khorasani	kmz-015	al													
	Shi	shr-000	gaSa													
	Shi Bai	bca-008	So													
	Shikuyana	kbb-000	amoto		húdö́mà		tsʊkár	àčíǹdá	ʔúɮà				bážì			
	Shilluk	shk-000	čɪŋɔ													
	Shimamuni	okn-002	tii										agu			
	Shimayumiita	tkn-002											dushi			
	Shimenkan Hmong	cqd-003	di													
	Shina Guresi	scl-026	hath~													
	Shina Kohistani	scl-027	hath~													
	Shinasha	bwo-000	kiːša													
	Shinwari Pashto	pbu-021	las													
	Shipibo	shp-002	mueke													
	Shipibo-Conibo	shp-000	mɨ-kɨ̃	põtõko	βɨ-		tiati	pac̷a-ti	oko-ti		mɨniti		rarɨβokɨska		-ma	βanɨti
	Shiri	dar-012	naˤqˤ													
	Shirishana	shb-000	i*thak	ũmolok	pili muk		hupa	ĩš yalu	thoko-mo		wiye		thẽlema wei	ipa pək	pem	yãšimo
	Shirumba	shw-000	r-					wɛ́y-ú!								ŋa-mir-a
	Shirwan Khorasani	kmz-016	El													
	Shiyeyi	yey-000	ldaandja													
	Shizuoka-ben	jpn-063											tsure			
	Shompen	sii-000	kougau													
	Shuar	jiv-000	uwuy													
	Shubi	suj-000	kuboko	kokora	maaso			ikukura	inkoroora	wachu						sigara
	Shughni	sgh-000	8ost													
	Shuiqing Sui	swi-002	my~a													
	Shukllachishka Kichwa	que-001	maqui	mucu	ñahui	chainiac	llamcana	maillana	ujui		raquina	llacta	ricsic	aillu	mana tiyanchu	..tiyana
	Shundil Mundari	unr-010	tiːʔ	ʧouˈwa	ˈmed mũˌɽa								gati	ˈhon hoˈpon		
	Shurak Khorasani	kmz-017	El													
	Shuri hōgen	ryu-002	ti													
	Siagha	aws-000	bedo													
	Siagha	ngf-006						oxo kun-	ow ti-							
	Siakakan	kga-004	boro													
	Sialum	slw-000	kana													
	Siane	snp-000	a	ana umola					komu						eʔe	
	Siang	sya-000	silu7													
	Siar	sjr-000	liman												belarak	
	Sibe	sjo-000	Gala													
	Sibe	nco-000	uŋgah	kapata					kuŋguraʔ ŋgaβarih						malaka	
	Sibe Manchu	sjo-001	Gal													
	Sichule	skh-000	la													
	Sienkokakan	jod-001	boro													
	Siha	jmc-002	oko	okokua	sangu			sanja	korua	enia						saa numa
	Sihan	snr-000		uːr	orʌ-			vado-	dɛʔuru be-						beːʔi	
	Sika	ski-000	limaŋ												ʔeʔoŋ	
	Sikaiana	sky-000	lima													
	Sila	dau-000	ande					daidi								
	Sileibi	sbq-000		kaŋguna	munduma			aɲi piram-	muti tugu-						mana	
	Silimo	wul-000	egik													
	Siliput	mkc-000	laŋ												ohou	
	Silopi	xsp-000		kusesin	urɛ-			de ra-	tɛrɛ kwo-						pituːk	
	Silozi	loz-000	zoho	ngunyutile	sifateho	buhule1	-nyamatala	tapi-- size	-ho-tolisa		abelani		muzwale	lubasi	nda2	
	Simalungan	bts-000						usah								
	Simbo	sbb-000	lima					iu							kati	
	Simeulue	smr-000	si7u					fasə-a							baʔ	
	Simi	nsm-000	aou mi													
	Simoldohi Santali	sat-013	tiː	moˈka	med ˈɦaː								gaˈti	gʰaˈroɲʤ		
	Sinasina	sst-000	oge		eŋglaːna											
	Sinatacan	xin-000	pun													
	Sinauna	agv-000	alima													
	Sindangan Subanun	syb-000	beNk3n		gatbaŋ										kɨnaq	
	Singhi	sne-000	toŋan	siku									diŋan		idex	
	Singo Di Garhi Hindko	hno-005	ba*													
	Sinsauru	snz-000		wawunum	gariɛn			os-	weisou koton-						faʰ	
	Sinto	rmo-000	vast													
	Sinyar	sys-000	nzi													
	Sio	xsi-000	bao													
	Siocon Subanon	suc-000	komot												konaq	
	Siona	snn-000	kˀã hopˀɨ	sĩʔki	sˀia		nanohi	sˀoa	koʔko		waʔwohi		kˀahekˀɨ		pˀãhi	pˀɨahi
	Sipacapa	qum-000	q"ab"													
	Sipoma	sij-001	nima													
	Sirak	srf-000	baEn													
	Sirasira	zsa-000	baNgiEn													
	Siraya	fos-000	dadukam												asi	
	Sirenik	ysr-000	yaq3X													
	Siriano	sri-000	moho*													
	Sirio	nwr-000		wanaisi					ɛkʰɔnɔ urinu						mɛ	
	Sirionó	srq-000	eo	ečimaŋũiana	eruba			i̯rei̯	hooho i̯		mučao čao		ekʸato		tei	sikičõ
	Siroi	ssd-000		daʔol	tumail			pisa-	ŋgiskolta-						kwa	
	Sisaala	sil-000	nisiN													
	Sisaala	nic-018	nɪsəŋ													
	Sisaala	nic-019	ńɪsə̀ŋ													
	Sisiame	bcf-001	tu	tu kauheo	musi			diouwa					abona-dubu		puaie	
	Sisiqa	baa-004	k3risia													
	Siti	pnq-000	ne*i*													
	Siuslaw	sis-000	CiL													
	Siviri Uaripi	uar-006	mo7i													
	Sivisa Titan	ttv-000	lima		matabul		sumWi	nyurui		kor			kawas		epoen	tu
	Siwa	siz-000	fus													
	Siwai	siw-000	kumɔʔ	tuʔturiʔ					kʊnuokuⁱtoŋ						tokʊnoiʔ	
	Siwas	qxn-000	maki	kukush	qallqa		yatay	paqa-			qaray	marka	yanaqi		manam	kakuy
	Siwu	akp-001	kɔrɔ̃													
	Sizaki	ikz-001	okobhoko	kokora	ubhusyu			okwogya	korora	wetu						saga
	Sjiagha	awy-000	bedo													
	Skikun Atayal	tay-006	qba7													
	Skou	skv-000	no*													
	Slavisk	art-250													ne	
	Sliammon	coo-001	CayiS													
	Slijuala xanuk	chd-000	l=a=mˈane					jants								
	Slovio	sla-000	ruk													
	Slovio	art-410	ruk		lico								drug	rodzin		
	So'a	ssq-000	lima												bhaʼi	
	Sobei	sob-000	imi-m												tap[se]	
	Soboyo	tlv-000	faha										fali-tuha		daaŋ	
	Sochiapan	cso-000	kuo													
	Socotri	sqt-000	e7ed													
	Sodangan	ptu-010	lima													
	Soddo	gru-000	wy													
	Sokoro	sok-000	pít-ʊm		téi-dum			?íšide íši	éseʼéseŋ				kúda géːro		zédaga	
	Solon	evn-001	nasla													
	Solos	sol-000	mo mina uh												meiyah	
	Soltan Abad Khorasani	kmz-018	al													
	Soma	mky-005	kamo													
	Somba Siawari	bmu-000	börö	titit	jegen akza		osei	miri	kölzok		mendeŋ		alatosolom	könagesö	qahö	mala ahöba ahöza
	Somrai	sor-000	usá-m		drúmmo			uwialó					dianmase		na urubeda	
	Songish	str-004	sel3s													
	Songkhla	tai-007	mɨ.3													
	Songum	snx-000		gɔr	landia			ildi-	doʔol-						ɟʌlo	
	Sonia	siq-000	dob													
	Soninkanxaane	snk-000	kitte	ségonaːntombɛ	giya	laatoye	leqi	wanqi	texu	kaa	taqe	jamankafo	menǯanŋe	ǯanmu	ayi	toxi
	Sonsorol	sov-000	paú-(na)												-taɪ	
	Sop	urw-000		dup	mowa-			fis-	dɛukt-						kono	
	Soppeng Buginese	bug-002	lima													
	Sora	srb-000	si7i													
	Soranî	ckb-001	ده‌ست		demuçaw			شوشتن	کۆکین					xêzan		
	Sorkhei	sqo-000	dost													
	Sosoniʼ	shh-000	maˮ-	kii-ppeh	kopAIø		wiyemukki	hunuˮpin	ohiˮ				ha̅i̅ntseh-a		ka̲i̲	topihka
	Sosva	mns-001	kaːt													
	Sota Kanum	krz-000		səməlku									nəŋɓaːl		yɒw	
	Sou Amana Teru	tlu-000	rima													
	Sowa	sww-000	Ne													
	Soyoltepec de San Miguel	vmp-000	nca													
	Squliq	tay-004	qba7													
	Sranantongo	srn-000	anu	bak’anu	fesi		smeri	wasi	koso	oso			mati	famiri		libi
	Srpskohrvatski	hbs-001	ruka	lakat	líce	daljìna	tàknuti	prati	kašljati	domovina	dionica		drug	obitelj	ne	òstati
	Stellingwerfs	stl-000	hant													
	Stieng	sti-000	ti					rao								
	Stimul Paiwan	pwn-006	Lima													
	St’át’imcets	lil-000	skw~akst													
	Suau	swp-000	nima													
	Suba	sxb-000	kobhoko	ekeghokora	syo			koghya	kora							ukutighara
	Subtiaba	sut-000	jaṹː													
	Sudest	tgo-000	nNma													
	Suena	sue-000	wana	wana umu	benau		kimai	ou gutai	utai		bona wai		otao	mai awiso	tepo	
	Suganga	sug-000	kɔrɪnte	tiyɔminɔte					irɔrʌnaimpe							
	Sui	swi-000	my~a													
	Sui Jung Chiang	swi-003	mya													
	Sui Li Ngam	swi-004	mya													
	Sui Pyo	swi-005	mi3													
	Sukau Lampung Api	ljp-009	Tulu7													
	Suki	sui-000	kabəsä	ätäeuki	tugera				iprumi						iyä	
	Suki	sui-001		daŋwat	bugu											
	Sukuma	suk-000	nkono	gokola	shu			pyagula	kolola	kukaya						
	Sukurum	zsu-000	baNgiEn													
	Sulka	sua-000	ktiek					orop ororop					la			
	Sullkatiti Titiri	ayc-002	ampara													
	Sulung	suv-000	g3c													
	Sumambu	mvv-000	longon													
	Sumararu	rwa-002	on													
	Sumau	six-000		dokau	moa			isiɛr	tɛukoto-						wɛ	
	Sumbwa	suw-000		nkokola	syo			oga	kolola							ikala
	Sumo	wra-002	an3													
	Sungkai Lampung Api	ljp-010	puNu													
	Sungor	sjg-000	ao													
	Sunwar	suz-000	gui													
	Suppire	spp-000	nayìā					yée								
	Sura	sur-000	sarr		yit		kyàm	fwàŋ	seɣem				šar			
	Suri	suq-000	sino													
	Suri	ppo-001	naʼase	kelepe					bõ dapo						me	
	Surigaonon	sgd-000	alima													
	Surmiran	roh-004	mang													
	Sursilvan	roh-001	maun													
	Sursurunga	sgz-000	lim3n													
	Suru Kavian Apma	app-001	lima													
	Suruí do Pará	mdz-000	po													
	Susu	sus-000	yi	tɔ̀ŋxɔ́n				xàá					bore			
	Suyong Hmong	cqd-004	te													
	Suyá	suy-000	ni*kr3													
	Swabi Pashto	pbu-022	las													
	Swadesh 100	art-245	048												008	
	Swadesh 200	art-260	048					123								
	Swadesh 207	art-012	083					132								
	Swadesh-Gudschinsky 200	art-266	066					180							107	
	Swadesh-Yakhontov 110	art-277	037												062	
	Sya	bwq-000	sōrō					wà								
	Sye	erg-000	noru-												tawi	
	Syenara Senoufo	shz-000	kɔlɔ													
	Synja	kca-014	yɔːš													
	Sàŗ̄	mwm-000	jī	kíl̀			ɔ̀dɨ̀	tógò	késɨ̄		kēng		màdɨ̄			nà̰y
	Sãotomense	cri-000	mo*													fiká
	Säggsisch	sxu-000	fod3													
	Sōreth	cld-001	ida													
	Sūdaviskas	xsv-000	ranka	alkunas	prusnan		enkausint	velīt	kosīt	dimstis		perōne		seima	ni	stovinīt
	Ta Mit Laha	lha-001	onk3mo													
	Taabwa	tap-000	nw~e													
	Taai Saisiyat	xsy-001	ralokama7													
	Tabi	djm-002	lɔ̀ tɔ́	lɔ̀ tùŋó	gìnǒŋ		dògó	dí	kóšíyó	íló	ǹ hɔ́lɛ̀	pɔ́rɔ̀bà	gǎw	bàʼìló		
	Tabla	tnm-000	m3													
	Tabla C	tnm-001	meka													
	Tabla W	tnm-002	meka													
	Tabo	knv-001	koto-pata	papu	koroa											
	Tacana	tna-000	eme	e-bac̷o	e-bo		ď̶apaba-	popo-	oto				epere-hi		moe	eteso ani-
	Tacanec	mam-018	nq"ab"													
	Tacheng Dagur	dta-001	gar													
	Tado	tdc-000	hua ha*													
	Tadáksahak	dsq-000	kamba													
	Tae'	rob-000	lima				ala	bano							nige	
	Taensa	ncz-001	win													
	Tafaghist	taq-000	3fus						-ə̀su- A-grm T-ka							
	Tafasoho	mqs-004	kamma													
	Tagabawa	bgs-000	balad													
	Tagakaolo	klg-000	b3kt3n													
	Tagbana	tgw-000	kɛrɛ̀					fóŋ								
	Tagbanwa	tgt-000	qalima												qɨngga	
	Tagbanwa	tbw-000	alima						ikɨd							
	Tagbu	tbm-000	7bi													
	Tagoi	tag-000	c-ɪŋɪn										ka-ɟarɨŋ			
	Tagono	mqs-005	kamma													
	Tagwana Senoufo	tgw-001	kadala					gbri								
	Tagwana Senoufo	tgw-002	kiɛʔɛ̀					ɟeri								
	Tahane	mky-006	kamo													
	Tahoss	bom-001	bekenvw$o													
	Tai Chiengmai	nod-004	mu													
	Tai Daeng	tyr-000	pa.1 mɨ.1													
	Tai Dam	blt-000	mu													
	Tai Lei Ping	zzj-003	mo													
	Tai Lungming	zzj-002	mou													
	Tai Ning Ming	zzj-004	mau													
	Tai Nong Khai	lao-002	mu													
	Tai Ping Siang	zzj-005	mu													
	Tai Po Ai	yoy-002	fuN													
	Taikat	aos-000	tur													
	Tainae	ago-001	fayu													
	Taino	tnq-000													uaʼ	
	Taiof	sps-000	nima-naih												sikeh	
	Taipan Mien	hmx-005	pua													
	Tairora	tbg-000	kauʔa	kaːntaː	biri		taːna	biʔaːna	ʔuntutiro						aʔau	
	Tairora—Binumarien	bjr-001	umu													
	Tais	paa-006	gagadeba	daŋwat	wumbo											
	Taje Tanampedagi	pee-001	tonuju													
	Tak Hmong	hnj-001	te													
	Takale Kham	kjl-000	kwi													
	Takbanuad	bnn-004	ima													
	Takebakha	bnn-003	ima													
	Takev Klingon	tlh-003	xo*ph~													
	Takia	tbc-000	bani-	skru-	nao-		-abi	-flani	-fffu		-wae		tra-	famili	tya	
	Talagang Hindko	hnd-005	ba*													
	Talang Padang Lampung Api	ljp-011	Tulu7													
	Talapao	mqs-006	ia													
	Talaud	tld-000	lima													
	Taloki	tlk-000	lima													
	Talossan	tzl-000	ma	coída	faça	distonça	scurscharh	lavarh	þüstarh	aldaia	cotia	coinonía	vina	linatxein	aucün	fucimaintsch
	Talubin	obk-000													aji	
	Talur	gal-001	ʼlimar												ʼtaikh	
	Taluti Laimu	tlt-001	lima fala													
	Taluti Tamilouw	spb-001	lima													
	Tama	tma-000	àù													
	Tamagario	tcg-000	yep													
	Tamagario	tcg-002		kup-čɐɣɐm				ɐpu	pʰɔ				dɛču		mɐmɛ	
	Tamagario	tcg-001		kup-čɐɣɐm				ɐpu	pʰɔ				kɐepɜm		mɐmɛ	
	Tamagario	tcg-003		kup-čɐɣɐm				ɐpu	pʰɔ				ⁿdɛiču		mɐmɛ	
	Tamahaq Ahaggar	thv-000	afus													
	Tamajeq Tayart—Air	thz-000	3fus													
	Tamambo	mla-000	lima-	vasuhureve	naho-		hisi	losovi		aimo				tavui	motete	
	Tamang	taj-000	ya													
	Tamari	tbz-000	ta-non-ta													
	Tamashek	ttq-001	of3S													
	Tambanua	txa-000	loŋon													
	Tambas	tdk-000	tafa da taS													
	Tambotalo	tls-000	pili													
	Tambunan Dusun	dtp-002	longon													
	Tame-Idi	idi-001	ṭaŋ	tãŋkwɨm					kwɛmbi						yau	
	Tami	tmy-000	neman													
	Tampulma	tpm-000	nin-													
	Tamu Kyi	gvr-000	yo													
	Tamuan	xdy-001	loNan													
	Tanahmerah	tcm-000	ta												nomoare	
	Tanan Rukai	dru-006	aLima													
	Tandai Ghari	gri-006	lima													
	Tandia	tni-000	mamuno													
	Tanema	tnx-000	me												eia	
	Tanete	ptu-011	katea7													
	Tanga	bjp-000	nima-												bel	
	Tangale	tan-000			salâɗò		làgùm gò	fùɗugò	wombùrè				sèrrò			
	Tangkhul	nmf-000	paN													
	Tangma Dani	dni-002	eki													
	Tangoa	tgp-000	lima													
	Tangsa	nst-000									phaal					
	Tangu	tgu-000	ka iruk	siaŋ					hukug						meri	
	Tanimbili	tbe-000													kāki	
	Tanimuca	tnc-000	pitaka													
	Tanimuca Retuara	tnc-001	pita ka													
	Tanka	ael-003	ɛ́bʷɔ́					sòó								
	Tanxi	tjs-002	ʔa₂₁=ʓe₅₅													
	Taoping	cng-000	yopo													
	Taora	ptu-012	lima													
	Taori-So	tds-000	gai													
	Tapachultec	nai-003	backu													
	Tapei-Arafundi	afp-001	gorok													
	Tapei-Auvim	afp-000	kolok													
	Tapiete	tpj-000	po													
	Tapirape	taf-000	ma													
	Tapshin	tdl-000	bak													
	Taquile	qxp-001	maki													
	Taram	ccg-000	wa-tɛmi										mana		aʔaʔ	
	Tarama-Minna hōgen	mvi-005							ssaku							
	Tarangan Barat	txn-000											béla			
	Tarangan Barat Feruni	txn-002	lemay													
	Tarao	tro-000	asek													
	Tarascan	tsz-001	haki													
	Tariano	tae-000	kEpi													
	Tarifit Guelaia	rif-004	fus													
	Tarifit—Beni Iznassen	rif-003	fus													
	Tarinding	kli-000	lima													
	Tarpia	tpf-000	mi-												tap	
	Tarunggareh	trt-000	akabaha													
	Tasmate	tmt-000	lima													
	Tate	tbd-000	upu	upu oko					hɑʔuɛhumo						korɛʔɛɑ	
	Tati	ttt-002	dəs		ruj								dusd	kiflet		
	Tatsʼáltęy	tcb-000	=ìn=ɬ̬á-ʔ													
	Tatuyo	tav-000	wa*bo*													
	Tauade	ttd-000	galatopute	oma kaluve	keuwi										muinu	loia
	Taulil	tuh-000			kalvon			turan								
	Taunggyi	tai-010	mɨ.1													
	Taungthu	blk-001	cu													
	Taupe	mqj-002	lima													
	Taurap	bzu-000	hennudo													
	Tause	tad-000	xa													
	Tause—Deirate	tad-001	aka													
	Tause—Weirate	tad-002	aga													
	Taushiro	trr-000	yawa													
	Tausug	tsg-000	limah												bukun	
	Tautu	upv-004	b3re													
	Tauya	tya-000		dao				auw-	tautɛ-						wɛa	
	Tavda	mns-006	käːt													
	Taveta	tvs-000					kunda	ogha	koho		ghaBa		buyaa1a-2a			ikaa
	Tawaroga-Kahua	agw-001	ruma													
	Tawoyan	twy-000	kam3i													
	Tboli	tbl-000	sigɨl												sunduh	
	Teanu	tkw-000	ma												tae	
	Tebul Ure Dogon	dtu-000	kɛndɛ	nùmá tɔdɔŋ	gire numgɔ			mɔga					wyaŋge			uŋgɔbe
	Teco	ttc-000	nq"ab"													
	Teda	tuq-000	kóbei					keːz								
	Tee	tkq-000	ba													
	Tegali	ras-000	ŋin													
	Tegali	ras-001	ŋɪn													
	Tegem	laf-002	k-ʊ́ːmɪ́					ŋgʊ́ǯwɪ́-t̪aŋ!								
	Tehuelche	teh-000	kcen	ʼtˀekš	ʼkˀē		ʼ-awr-	eʼčˀe-	k ʼaʔwn-				ʼšolkˀ-n	ʼhew-tš	ʼkˀom	ʼw-erno-
	Tela-Masbuar	tvm-000	ʼitmi												ʼkarim	
	Telefol	tlf-000	kul	fet kiːn					kogonin						eʼeː	
	Teluti	tlt-000	rima													
	Tem	kdh-000	ndɛlɛ													
	Tembe	tqb-000	po													
	Teme	tdo-000	gya na										dumlɛ			
	Temein	teq-000	nɪnat̪	refe												
	Temi	soz-000	jOha	mwana	ta:na moriri			egoria	jomi	nso:ko						
	Temne	tem-000	kedzáːrumut	kè-gbɔ́ːnt	d-er		gboŋ	yak	sɔr				ɔ yathki			
	Tempasuk Dusun	dtp-003			turos											
	Tene Kan Dogon	dtk-001			girebanran								tan			
	Tenengakan	mxx-004	bo													
	Tenere	sef-001	kɛ̄yɛ̀ yīʼī					wòlì								
	Tenharim	pah-000	po													
	Tennet	tex-000	ʌ̀ðːì													
	Tenyer	kza-000	xo													
	Teocuitlapa	omq-003	jauũʔ													
	Teocuitlapa Mephaa	tpx-002	yau*													
	Teop	tio-000	kurina													
	Tepecano	tep-000	nov													
	Tepehua	tpp-000	maka7													
	Tepehua Huehuetla	tee-000	maka7													
	Tepehua Tlachichilco	tpt-000	maka7													
	Tepowi	ted-000	kata					yrà	klɔ̀hɔ̃ʏ̈				nɪ̂nâtúmù			
	Tera	ttr-000	xar	səbə́n	mbəyiti		sə́ɓà		kùɮà							
	Teribe	tfr-000	orkuo													
	Termanu	twu-000	lima												ta[k]	
	Ternate Pasar	max-000	taNan													
	Tetun Dili	tdt-000	liman				kaer	fase		uma			kolega		lae	hela
	Tetun-Los	tdt-001					kokok	fase	meʼar				amigu		lae	hela
	Teun	tve-000	ʼlima												ɛʼʔɛta	
	Tewa	twe-000	nattaŋ										nɑbɪb-			
	Tewa Arizona	tew-001	man													
	Tewa—Deing	twe-001	nataN													
	Tewa—Lebang	twe-002	natan													
	Tewa—Madar	twe-003	natan													
	Tewa—Sargang	twe-004	nataN													
	Texixtepec	poq-000	k37													
	Thado	tcz-000	xut													
	Thai Trang	twh-000	fa.5 mɨ.4													
	Thakali	ths-000	ya													
	Thal Pashto	pbu-023	los													
	Thao	ssf-000	rima		shaqish			sh-m-inaw							antu	
	Tharaka	thk-000	njara	ngakura	uthiu			kuuju	korora	mujii						gutigara
	Thargari	dhr-000	maɹa	ɲiyu	ŋuː		yuru-ɹu	put̪a-	t̪aka-ɹu				cali		ngati	kupa-yi
	Thargudi	wbv-004	mura		mulya										parlang	
	Thawa	xtv-000	maraNka													
	Thembu	xho-003	andla													
	Then	tct-000	mya													
	Thong Boi	hak-003	siw		mien			se		thi fong	phang				ng he	
	Thulung	tdh-000	lwa													
	Thô	tyz-001	mu													
	Ti	mhk-001	puː					suʔ								
	Tiandong	zyj-000	fɨŋ.2													
	Tiang	tbj-000	limana												parek	
	Ticuna	tca-000	me													
	Tidore	tvo-000	gia													
	Tien-pao	zyg-000	möi³¹	koːŋ³³⁴ɬoːk̚³⁵	na³⁴			ɬʊːi⁴⁵	ʔai⁵²				paŋ³¹jëu²⁴		mei²¹	
	Tifal	tif-000		okluːŋ kun					kaboːn-ba						daː	
	Tifol Afeng Abui	abz-004	taN													
	Tigak	tgc-000	mit												veak	
	Tigré	tig-001	3de													
	Tigwa Manobo	mbt-000	bɨlad												kɨnɨq	
	Tikahara Santali	sat-014	tiː	ʈuˈɖʰi	muˈʈʰaːn								gaˈte	gʰaˈroɲʤ		
	Tikar Akuen	tik-002	efTa													
	Tikopia	tkp-000	rima													
	Tikuu Swahili	swh-008	kono													
	Tillamook	til-000	sy3kw~aCi													
	Tima	tms-000	k-ɪdowan													
	Timbe	tim-000	bɑt-					puli-								
	Timucua	tjm-000	hue													
	Timugon Murut	tih-000	kalinduq												salaq	
	Tindaret	yva-006	anem													
	Tindi	tin-000	rEla													
	Tinʼ-lin-neh	yok-005	hapa													
	Tipai	dih-002	šaʎ̥													
	Tirah Afridi Pashto	pbu-024	los													
	Tiranige	nic-012			giɾi-umbulu											
	Tirio	bmz-000	suga-pata	kʰakʰiːp	varidi-ba			beanamea	abuːd				buia		aiyɛ	
	Tirió	tri-000	eny~a													
	Tiro	tic-000	ǹ-drɛð													
	Tiruray	tiy-000	kuwonon						buhaʔ							
	Tiv	tiv-000	wex													
	Tiwi	tiw-000	wamuta													
	Tiyadal	kap-004	koro													
	Tjalkadjara	aus-066	maɹa												tailpa	
	Tjubar Paiwan	pwn-007	Lima													
	Tjurruru	tju-000	maɹa	ɲicu	ŋuu			pun̪t̪a-							ŋul̪a	
	Tlamelula	clo-000	mane													
	Tlapaneco	tcf-000	jaũ													
	Tlongsai	mrh-000	pazati													
	Tlāpcopa Cuextlān nāhuatlahtōlli	nhe-000	ma													
	Toaripi-Motumotu	tqo-000		maikiri	omopa			ukeia	ahuru				pavura		kao	
	Toba	tmf-001	n-apokn-a	l-ḳote	l-ašik		y-ašil-lek	i-yo	d-asoknata		y-an-eek		l-asagiǰ-aʁawa	la-woʔ l-aši	ʔaʔi	we-ta-iǰi
	Toba	tob-000	na luaq													
	Tobelo	tlb-000	iNiri													
	Tobo	tbv-000	mɑrɑ-					dzua-								
	Tocho	taz-000	č-aguŋ					ɔd̪ʊːɣɪ́!								
	Toda	tcx-000	koy													
	Todanga	pnp-003	lima													
	Tofamna	tlg-000	lonta													
	Toga	lht-000	limo													
	Togo-Kan	dtk-002	nùmɔ́	nùmɔ̀-tɔ̀tɔ́gú	gìré tégé	wà-wàgù-ná	tɔ́wɔ́	téŋé	kòjúgó kógùjù	gìrⁿí tɔ̀	kùrɔ́	jà:má	ìⁿ-tá:ⁿ	gìrⁿí-dú ùrⁿì:	mà	sígɛ́
	Tojolabal	toj-000	k"ab"													
	Tok Pisin	tpi-000	han	skru bilong han	pes	longwe	tasim	wasim	kus	ples	kaikai wantaim		pren	lain	nogat	stap
	Tokano	zuh-000	aʔno													
	Tokelau	tkl-000	lima												heai	
	Tokharian A	xto-000	tsar		ak-mal			lik-		waṣt	pāk yām-		naṣu	kotär	mā	
	Tolaki Asera	lbw-001	kae													
	Tolaki Konawe	lbw-002	kae													
	Tolaki Laiwui	lbw-003	kae													
	Tolaki Mekongga	lbw-004	kae													
	Tolaki Wiwirano	lbw-005	kae													
	Tolitoli	txe-000	lima													
	Tolo	tlr-000	lima													
	Tolo	tub-001													hais	
	Tolomako	tlm-000	xabe													
	Tomadino	tdi-000	kae													
	Tombulu	tom-000	L3N3n													
	Tomini	txm-000	lima													
	Tommo	nic-009	numɔ		gireumbolo			nnd-i-ɛ					anuge			wada-
	Tona	dru-003	aima													
	Tondano	tdn-000	lawas													
	Tondi Songway Kiini	hmb-000	kambE													
	Tonkawa	tqw-000	nonoton													
	Tonsea	txs-000	dengen													
	Tontemboan	tnt-000	kama													
	Tooro	ttj-000	omukoono	ibeega	amaiso			ogya	kukorra	eka						ikara
	Toraja Saʼdan	sda-000	lima													
	Torau	ttu-000	baela													
	Tori Aikwakai	tty-000	ala													
	Torki	azb-001	al													
	Toro	tdv-000	marovo													
